,appropriate_for,director,downloads,industry,posted_date,release_date,run_time,storyline,title,views,writer,is_good
16087,Not Rated,Vikramaditya Motwane,50728.0,Bollywood / Indian,"06 Jul, 2013",Jul 05 2013,136.0,"The year is 1953. A visiting archaeologist called Varun Shrivastav comes to the village of Manikpur in West Bengal to excavate the temple grounds of the local Zamindar. With knowledge and experience beyond his young demeanour, Varun greatly impresses the Zamindar and his family. Especially Pakhi, the Zamindar's feisty and only daughter, who finds herself irrevocably drawn towards him. But Varun isn't all he seems on the surface. And as the simmering attraction between him and Pakhi leads to a tender and deep love, he is forced to choose between her and his past. Making his choice, Varun disappears. Pakhi struggles to move on with her life, determined to forget him and their relationship. Until one day, when he returns under the most extraordinary circumstances. Inspired from O. Henry's ""The Last Leaf"", Lootera is the uplifting story of two lovers. Of heartbreak, betrayal... and ultimate redemption.",Lootera,98932.0,"O. Henry, Bhavani Iyer, Anurag Kashyap",1
838,PG-13,Robin Wright,1416.0,Hollywood / English,"16 Feb, 2021",Feb 12 2021,89.0,"A bereaved woman seeks out a new life, off the grid in Wyoming.",Land,12491.0,"Jesse Chatham, Erin Dignam",0
15362,R,Matthew Thompson,7243.0,Hollywood / English,"12 Mar, 2014",Jun 17 2014,84.0,"Three soldiers get trapped in an elevator when terrorists set off a 
dirty bomb. But when White escapes, her world turns upside down as she 
realizes nothing is what it seems.",Event 15,29385.0,"Scott Bolger, Kent Murray",0
7784,TV-14,Simone Stock,764.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7632.0,Haley Harris,0
13909,R,Juha Wuolijoki,1417.0,Hollywood / English,"16 Jan, 2015",Jun 11 2014,80.0,A retired detective Tony Zarra (Tony Sirico) is pushed into the world of crime after the murder of his younger brother.,Zarra's Law,9181.0,"Joseph Scarpinito, Charles Kipps",0
15105,R,Fedor Bondarchuk,6117.0,Hollywood / English,"10 May, 2014",Oct 10 2013,131.0,"A band of Russian soldiers fight to hold a strategic building in their 
devastated city against a ruthless German army, and in the process 
become deeply connected to two Russian women who have been living there.",Stalingrad,24603.0,"Sergey Snezhkin, Ilya Tilkin",0
5144,TV-14,Simone Stock,763.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7562.0,Haley Harris,0
13632,TV-14,Simone Stock,766.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7783.0,Haley Harris,0
13708,R,Ned Benson,7636.0,Hollywood / English,"09 Dec, 2014",Sep 12 2014,123.0,"One couple's story as they try to reclaim the life and love they once 
knew and pick up the pieces of a past that may be too far gone.",The Disappearance of Eleanor Rigby: Them,46120.0,Ned Benson,0
4618,PG-13,Aline Brosh McKenna,2716.0,Hollywood / English,"13 Feb, 2023",Feb 10 2023,109.0,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,14766.0,Aline Brosh McKenna,0
7137,R,Nicholas McCarthy,3494.0,Hollywood / English,"22 Feb, 2019",Feb 08 2019,92.0,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,The Prodigy,23805.0,Jeff Buhler,0
336,PG-13,Rian Johnson,9449.0,Hollywood / English,"26 Nov, 2022",Dec 23 2022,140.0,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Glass Onion: A Knives Out Mystery,40301.0,Rian Johnson,1
1542,TV-MA,Alanna Brown,970.0,Hollywood / English,"11 Jun, 2022",Jun 10 2022,97.0,"In
 April of 1994, four women from different backgrounds and beliefs are 
trapped and hiding during the Genocide Against the Tutsi in Rwanda. 
Their fight for survival against all odds unites the women in an 
unbreakable sisterhood.",Trees of Peace,13044.0,Alanna Brown,0
252,TV-G,Peter Benson,686.0,Hollywood / English,"11 Jan, 2023",Jan 07 2023,84.0,"Avery
 and Peter try to keep the romance alive while renovating an old house 
and juggling work, but everything takes on a new perspective when Avery 
has a surprise for Peter.",The Wedding Veil Expectations,7084.0,"Judith Berg, Sandra Berg, Karen Berger",1
6856,R,Neil Jordan,284.0,Hollywood / English,"15 Feb, 2023",Feb 15 2023,110.0,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,3206.0,"William Monahan, John Banville, Raymond Chandler",0
3145,PG,"Kirk De Micco, Brandon Jeffords",5563.0,Anime / Kids,"09 Aug, 2021",Aug 06 2021,95.0,"Vivo,
 Sony Pictures Animation's first-ever musical adventure featuring 
all-new original songs from Lin-Manuel Miranda, will take audiences on 
an epic adventure to gorgeous and vibrant locations never before seen in
 animation.",Vivo,22181.0,"Kirk De Micco, Quiara Alegría Hudes, Peter Barsocchini",0
15539,PG,Gil Kenan,39347.0,Anime / Kids,"31 Jan, 2014",Jul 21 2006,91.0,"The teenage DJ is observing his neighbor Nebbercracker on the other side of their street in the suburb that destroys tricycles of children that trespass his lawn. When DJ's parents travel on the eve of Halloween and the abusive nanny Zee stays with him, he calls his clumsy best friend Chowder to play basketball. But when the ball falls in Nebbercracker's lawn, the old man has a siege, and soon they find that the house is a monster. Later the boys rescue the smart Jenny from the house and the trio unsuccessfully tries to convince the babysitter, her boyfriend Bones and two police officers that the haunted house is a monster, but nobody believes them. The teenagers ask their video-game addicted acquaintance Skull how to destroy the house, and they disclose its secret on the Halloween night.",Monster House,101006.0,"Dan Harmon, Rob Schrab, Pamela Pettler",0
1779,Not Rated,Kalyaan,9647.0,Tollywood,"19 Apr, 2022",Aug 02 2019,142.0,Two smart con-women and a bunch of quirky gangsters are pitted against each other while in pursuit of a mythical vessel fabled for its powers.,Jackpot,36310.0,"Kalyaan, Rishabh Purohit",0
3578,TV-MA,"Shari Springer Berman, Robert Pulcini",4380.0,Hollywood / English,"30 Apr, 2021",Apr 29 2021,121.0,"An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.",Things Heard & Seen,26037.0,"Elizabeth Brundage, Shari Springer Berman, Robert Pulcini",0
19383,PG-13,Alan Poul,7456.0,Hollywood / English,"23 Apr, 2010",Apr 23 2010,104.0,"Zoe is a woman who has a hard time letting anyone into her life. She has a habit of pushing people away whenever they get close. She wants to have a baby but because she has no man in her life, she decides to be artificially inseminated. Shortly after having the procedure she meets a guy named Stan, and she feels a spark. When she tells him about her pregnancy, she thinks he'll bail but he sticks with her.",The Back-up Plan,19358.0,Kate Angelo,0
1100,TV-MA,Roberto Santucci,304.0,Hollywood / English,"02 Sep, 2022",Sep 01 2022,110.0,"Walter
 moves from the city out to the countryside after a nervous breakdown. 
But his dream of a peaceful life is ruined when he meets his loud 
neighbors.",Fenced In,3139.0,Paulo Cursino,0
3204,R,Neil Jordan,283.0,Hollywood / English,"15 Feb, 2023",Feb 15 2023,110.0,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,3120.0,"William Monahan, John Banville, Raymond Chandler",0
573,PG,Clay Kaytis,153.0,Hollywood / English,"18 Nov, 2022",Nov 17 2022,98.0,"Follows
 the now-adult Ralphie as he returns to the house on Cleveland Street to
 give his kids a magical Christmas like the one he had as a child, 
reconnecting with childhood friends, and reconciling the passing of his 
Old Man.",A Christmas Story Christmas,2157.0,"Jean Shepherd, Nick Schenk, Peter Billingsley",1
4633,Not Rated,Anushree Mehta,8760.0,Bollywood / Indian,"28 Sep, 2020",Sep 26 2020,41.0,join 6 murder suspects on their search to find the real killer amongst them. Watch the lives of these seemingly regular people change forever when they are pinned in a room and asked to find the serial killer hiding amongst them within 12 hours or face certain death. Will they be able to do what Delhi Police has been trying for the last 12 months?,Unkahee,37113.0,Anushree Mehta,0
8458,R,Mike P. Nelson,3294.0,Hollywood / English,"04 Jul, 2018",Jun 29 2018,95.0,"In a terrifying post-apocalyptic world inhabited by gangs divided into deadly factions, a husband and wife race desperately across the countryside in search of safety and must work together as they are pushed to the breaking point in order to survive.",The Domestics,23079.0,Mike P. Nelson,0
15206,PG-13,Joe Pearson,6229.0,Anime / Kids,"15 Apr, 2014",Jul 03 2014,85.0,"A retro-futuristic epic of steampunk battle set in 1914. It has been 15 
years since the original H.G. Wells Martian invasion. Fearing another 
attack, the human race has prepared itself.",War of the Worlds: Goliath,54202.0,"David Abramowitz, Joe Pearson, H.G. Wells",0
16225,R,Anne Fontaine,20941.0,Hollywood / English,"24 Aug, 2013",Apr 03 2013,112.0,"Lil (Naomi Watts) and Roz ('Robin Wright' ) are two lifelong friends, having grown up together as neighbors in an idyllic beach town. As adults, their sons have developed a friendship as strong as that which binds their mothers. One summer, all four are confronted by simmering emotions that have been mounting between them, and each find unexpected happiness in relationships that cross the bounds of convention.",Adore,52850.0,"Anne Fontaine, Doris Lessing, Christopher Hampton",0
16233,R,Elegance Bratton,472.0,Hollywood / English,"17 Feb, 2023",Dec 02 2022,95.0,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,6014.0,Elegance Bratton,1
2057,R,Brian Skiba,1535.0,Hollywood / English,"24 Feb, 2022",Feb 18 2022,95.0,"Detective Breslin crosses paths with Calloway, a ruthless hacker who's trying to save his kidnapped wife from a drug cartel. When Calloway escapes from police custody, Breslin joins forces with a no-nonsense cop to reclaim his prisoner.",Pursuit,13690.0,"Brian Skiba, Andrew Stevens, Dawn Bursteen",0
12541,TV-14,Joel Soisson,3177.0,Hollywood / English,"13 Nov, 2015",Jan 01 1970,84.0,"15 yrs after she was left in a ditch, a young woman is contacted by a 
millionaire from NYC who claims to be her mother. When she arrives at 
the family estate, she finds herself in the middle of a mysterious plot.",Girl Missing,22189.0,Philip Fracassi,0
11833,R,Elegance Bratton,471.0,Hollywood / English,"17 Feb, 2023",Dec 02 2022,95.0,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,5894.0,Elegance Bratton,1
1233,Not Rated,"Tahir Rana, Éric Warin",285.0,Anime / Kids,"11 Aug, 2022",Nov 09 2022,92.0,An account of German-Jewish artist Charlotte Salomon living in the south of France between 1941 and 1943.,Charlotte,6373.0,"Erik Rutherford, David Bezmozgis, Charlotte Salomon",0
17879,PG,David Lean,2177.0,Hollywood / English,"07 Feb, 2012",Dec 14 1957,161.0,"The film deals with the situation of British prisoners of war during World War II who are ordered to build a bridge to accommodate the Burma-Siam railway. Their instinct is to sabotage the bridge but, under the leadership of Colonel Nicholson, they are persuaded that the bridge should be constructed as a symbol of British morale, spirit and dignity in adverse circumstances. At first, the prisoners admire Nicholson when he bravely endures torture rather than compromise his principles for the benefit of the Japanese commandant Saito. He is an honorable but arrogant man, who is slowly revealed to be a deluded obsessive. He convinces himself that the bridge is a monument to British character, but actually is a monument to himself, and his insistence on its construction becomes a subtle form of collaboration with the enemy. Unknown to him, the Allies have sent a mission into the jungle, led by Warden and an American, Shears, to blow up the bridge.",The Bridge on the River Kwai,10504.0,"Pierre Boulle, Carl Foreman, Michael Wilson",1
15536,PG,Jonathan Newman,10744.0,Hollywood / English,"01 Feb, 2014",Dec 05 2013,100.0,"Ancient mysteries. Powerful evil. And a fearless hero's quest through a fantastical realm of steam-powered wonders and sinister magic... In THE ADVENTURER: THE CURSE OF THE MIDAS BOX, seventeen-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artifact that grants limitless wealth - but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box!",The Adventurer: The Curse of the Midas Box,79467.0,"Christian Taylor, Matthew Huffman, G.P. Taylor",0
15346,Not Rated,David Dhawan,29315.0,Bollywood / Indian,"14 Mar, 2014",Sep 21 2001,131.0,"Inpired from the movie ""Liar Liar"", this movie is about a lawyer 
(Govinda) who lies his way through marriage and career. His wife 
(Sushmita Sen) falls in love with him because of his...",Kyo Kii... Main Jhuth Nahin Bolta,56902.0,"David Dhawan, Imtiaz Patel, Yunus Sajawal",0
15104,PG,"Phil Lord, Chris Miller",36814.0,Anime / Kids,"22 Jan, 2014",Sep 09 2009,90.0,"Flint Lockwood thinks he's a genius. But none of the things he invented are things that make sense or are useful. However, he has the support of his mother but when she dies, he's left alone with his father who thinks he should give it up. When the community that he lives in is in an economic crisis because their primary source of income, a sardine cannery, was shut down, Flint decides to try his latest invention, a machine that can turn water into food. But something goes wrong and the machine ends up in the atmosphere. Later it starts raining food. The shifty mayor tries to use this as a way to help their community, but when Flint senses something wrong with the machine, the mayor convinces him to ignore it. However, as Flint predicts, chaos ensues.",Cloudy With A Chance Of Meatballs,82402.0,"Phil Lord, Chris Miller, Judi Barrett",0
11945,Not Rated,Sreenu Vaitla,50093.0,Tollywood,"21 Mar, 2016",Oct 16 2015,151.0,A stuntman is mistaken for a police officer by an idealistic woman and begins fighting crime on behalf of the police.,Bruce Lee-The Fighter,157221.0,"Sreenu Vaitla, Kona Venkat, Gopimohan",0
18855,PG-13,Ron Howard,3663.0,Hollywood / English,"15 Jan, 2011",Jan 14 2011,111.0,"A man finds out that what you don't say to a friend is just as important as what you do is this story of how far you can bend a brotherly bond before it snaps. Since college, confirmed bachelor Ronny (Vaughn) and happily married Nick (James) have been through thick and thin. Now partners in an auto design firm, the two pals are vying to land a dream project that would launch their company. Ronny's girlfriend, Beth (Connelly), and Nick's wife, Geneva (Ryder), are by their sides. But Ronny's world is turned upside down when he inadvertently sees Geneva out with another man and makes it his mission to get answers. As the amateur investigation dissolves into mayhem, he learns that Nick has a few secrets of his own. Now, with the clock ticking and pressure mounting on the biggest presentation of their careers, Ronny must decide what will happen if he reveals the truth to his best friend.",The Dilemma,15217.0,Allan Loeb,0
3325,R,Andrew Stevens,415.0,Hollywood / English,"25 Jun, 2021",May 11 2021,101.0,"An extreme sportsman's life forever changes upon departing his simple Texas roots to compete in the world's most prestigious Kiteboarding Championship. Along the way, an edgy street-smart girl challenges him well beyond just kiting.",Send It!,4038.0,Charles McKinney,0
7098,PG-13,Johannes Roberts,34385.0,Hollywood / English,"01 Jul, 2017",Jun 16 2017,89.0,"Two sisters are exploring the deep blue sea until something goes wrong. As they submerge 47m they encounter a creature that only wants flesh and blood. As they fight their way back to the top, they shortly run out of oxygen. With only an hour left they're not only racing against time they are racing against life and death.",47 Meters Down,151014.0,"Johannes Roberts, Ernest Riera",0
17284,TV-14,Simone Stock,766.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7881.0,Haley Harris,0
15337,PG-13,Rob Thomas,5554.0,Hollywood / English,"15 Mar, 2014",Mar 14 2014,107.0,"Years after walking away from her past as a teenage private eye, 
Veronica Mars gets pulled back to her hometown - just in time for her 
high school reunion - in order to help her old flame Logan Echolls, 
who's embroiled in a murder mystery.",Veronica Mars,32109.0,"Rob Thomas, Diane Ruggiero",0
13437,R,Rob Cohen,43171.0,Hollywood / English,"03 Feb, 2015",Jan 30 2015,91.0,"A newly divorced woman falls for a younger man who has recently moved in
 across the street from her, but their torrid affair soon takes a 
dangerous turn.",The Boy Next Door,133385.0,Barbara Curry,0
14529,R,Jack Plotnick,1649.0,Hollywood / English,"19 Sep, 2014",Mar 08 2014,100.0,"A 1970s version of the future, where personalities and asteroids collide.",Space Station 76,11389.0,"Jennifer Elise Cox, Sam Pancake",0
14699,Not Rated,Ashutosh Gowariker,10020.0,Bollywood / Indian,"19 Aug, 2014",Sep 20 2009,195.0,"What's Your Raashee? Yogesh Patel, a young man in a hurry. Yogesh must find his dream girl within 10 days to save his family from utter ruin. Finding the dream girl is tough enough. Finding her in a hurry is even tougher.",What's Your Raashee?,27139.0,"Tapan Bhatt, Ashutosh Gowariker, Naushil Mehta",0
1810,TV-14,Hyeon Na,1024.0,Hollywood / English,"13 Apr, 2022",Apr 08 2022,125.0,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.

A silent battlefield of spies as the center of Asia, Kang-in, the director of National Intelligence Service's overseas branch, leads his Black Team with the best agents in carrying out covert missions. Kang-in is notorious for mercilessly taking any measure to get what he wants, earning himself the nickname ""Yaksha,"" a human-devouring spirit. One day, Ji-hoon arrives as a prosecutor to investigate Black Team, and even with their ignorance, he finds out that their real mission concerns a case that can shake up the whole continent. Soon enough, Kang-in needs to use all his sources, even Ji-hoon, to find his way deeper into the case.",Yaksha: Ruthless Operations,9762.0,"Sang-hoon Ahn, Hyeon Na",0
6304,PG,Simon Curtis,1403.0,Hollywood / English,"16 Aug, 2019",Aug 09 2019,109.0,"Through his bond with his owner, aspiring Formula One race car driver 
Denny, golden retriever Enzo learns that the techniques needed on the 
racetrack can also be used to successfully navigate the journey of life.",The Art of Racing in the Rain,9303.0,"Mark Bomback, Garth Stein",1
6326,PG-13,J.D. Dillard,1839.0,Hollywood / English,"18 Oct, 2019",Jan 28 2019,82.0,"Jenn has washed ashore a small tropical island and it doesn't take her long to realize she's completely alone. She must spend her days not only surviving the elements, but must also fend off the malevolent force that comes out each night.",Sweetheart,10309.0,"J.D. Dillard, Alex Hyner, Alex Theurer",0
15538,PG,Jennifer Yuh,127347.0,Anime / Kids,"01 Feb, 2014",Jun 03 2011,90.0,"In the Valley of Peace, Po Ping is revelling in his fulfilled dreams as he serves as the fabled Dragon Warrior protecting his home with his heroes now his closest friends. However, Po and company learn that the murderous Lord Shen of Gongman City is threatening the land with a fearsome new weapon that could mean the end of kung fu. They attempt to stop him, but the panda is burdened with crippling memory flashbacks linked to this villain. Now with China in the balance, Po must learn about his past and find true inner peace against all opposition.",Kung Fu Panda 2,233330.0,"Jonathan Aibel, Glenn Berger, Ethan Reiff",1
19405,PG-13,Shawn Levy,12009.0,Hollywood / English,"09 Apr, 2010",Apr 09 2010,88.0,"Phil and Claire Foster are a couple who have been married for several years. Their days consists of them taking care of their children and going to work and coming home and going to bed. But they find time to have a date night wherein they go out and spend some time together. When another couple they know announce that they're separating because they're in a rut, Phil feels that he and Claire could be too. So when date night comes Phil decides to do something different. So they go into the city and try to get into a new popular restaurant. But when it's full and still wanting to do this, Phil decides to take the reservation of a couple who doesn't show up. While they're having dinner two men approach them and instructs them to stand up and go with them. They think the men are with the restaurant and want to talk to them about taking someone else's reservation. But it appears the couple whose reservation they took crossed someone and the two men work for this person. The men are after ...",Date Night,45323.0,Josh Klausner,0
18511,Not Rated,Vidhu Vinod Chopra,10146.0,Bollywood / Indian,"06 Jun, 2011",Jan 01 1970,154.0,"At an early age, Kishen, to provide a better life for himself and his younger brother Karan, entered the underworld. To prevent the same fate from happening to Karan, he sent him abroad, but before this had happened, Karan had fallen in love with his friend Prakash's sister, Paro. Years pass, and now Kishen is the henchman of Anna, a psychotic don. Karan returns to Bombay and immediately goes to meet Prakash, now an honest police officer. But Anna's men kill Prakash right in front of Karan, and he learns of his brother's involvement with Anna. Against Kishen's wishes, he joins Anna's gang and starts tipping off a rival gang. This is revenge for Prakash's death-by playing off one gang against the other, he hopes to exterminate both of them at the same time. In a desperate attempt to get Karan away from it all, Kishen gets him married to Paro. But when the couple are brutally killed on their wedding night, Kishen is out for revenge...",Parinda,23486.0,"Vidhu Vinod Chopra, Imtiaz Hussain, Shivkumar Subramaniam",1
8255,PG-13,Jim Loach,623.0,Hollywood / English,"20 Aug, 2018",May 11 2018,100.0,A bullied teen experiences a turning point summer in which he learns to stand up for himself.,Measure Of A Man,6489.0,"David Scearce, Robert Lipsyte",0
3064,R,Christopher Alender,926.0,Hollywood / English,"26 Aug, 2021",Jan 01 1970,90.0,"Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.",The Old Ways,7945.0,Marcos Gabriel,0
9248,R,"Brendan Malloy, Emmett Malloy",2965.0,Hollywood / English,"16 Dec, 2017",Dec 01 2017,104.0,"When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.",The Tribes of Palos Verdes,23075.0,"Karen Croner, Joy Nicholson",0
19616,Not Rated,Vishal Bhardwaj,15185.0,Bollywood / Indian,"12 Aug, 2009",Aug 12 2009,130.0,"Guddu and Charlie are identical twins born and raised in the slums of Mumbai. They dream of leaving the squalor behind and moving into a life of prosperity and dignity. Though they look alike, the two are as different as chalk and cheese: one lisps while the other stammers; one is an honest, diligent social worker while the other hedges bets at a racecourse. The brothers want nothing to do with each other, but when Charlie gets mixed up in a deadly get-rich-quick scheme and Guddu realizes that the love of his life has unwittingly put a price on his head, their lives begin to collide. Faced with rogue politicians, drug dealers and crooked cops, they uncover a sinister plot laid out by the 'political-police-underworld' nexus. Their stories finally converge to a point when they realize they only have each other.",Kaminey,32326.0,"Cajetan Boy, Supratik Sen, Abhishek Chaubey",1
3210,PG-13,Aline Brosh McKenna,2716.0,Hollywood / English,"13 Feb, 2023",Feb 10 2023,109.0,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,14727.0,Aline Brosh McKenna,0
10648,R,"Tim Ferguson, Marc Gracie",2403.0,Hollywood / English,"24 Dec, 2016",Sep 15 2016,92.0,Let Love Take You For A Ride.,Spin Out,15665.0,"Edwina Exton, Tim Ferguson",0
2777,R,David Gordon Green,3618.0,Hollywood / English,"16 Oct, 2021",Oct 15 2021,105.0,The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,Halloween Kills,22771.0,"John Carpenter, Debra Hill, Scott Teems",0
7178,Not Rated,Lux,1871.0,Hollywood / English,"16 Apr, 2019",Jan 01 1970,90.0,"In an effort to repair a stale relationship, JOHN accompanies his archaeologist girlfriend, AMY to a remote island to locate Ancient Native Artifacts. They discover extremely old cave markings along with a long lost believed to be sacred mask; when it disappears, strange occurrences happen which unleashes a mythological creature that hunts them down as they try to escape and get off the island.",Red Island,15852.0,Lux,0
14412,R,Jamie Blanks,11823.0,Hollywood / English,"16 Oct, 2014",Sep 25 1998,99.0,"After a bravura opening sequence featuring Natasha Gregson Wagner getting slaughtered by the killer with an ax hiding in the backseat of her car, Urban Legend tells the story of a group of pretty college students at a remote New England university. The focus of the story is Natalie, a beautiful, academically-gifted student at the fictional Pendleton University. Natalie and her friends are all involved in the Folklore class being taught by Professor Wexler. Wexler regales his class with urban legends, which include Pendleton's own urban legend about a Psych professor who murdered six students at Stanley Hall 25 years ago. Natalie is the first one to suspect there's a killer on campus, especially after she has ties to all of the victims. First, it's her high school friend, a guy she's in the woods with at night, her roommate... No one, including her friends, Wexler, Dean Adams and security guard, of course, believes her until it's too late and everyone begins to die according to famous ...",Urban Legend,42485.0,Silvio Horta,0
13053,R,Kim Farrant,4252.0,Hollywood / English,"11 Jul, 2015",Jul 09 2015,112.0,"Newcomers to the remote Australian desert town of Nathgari, Catherine and Matthew Parker's lives are flung into crisis when they discover their two teenage kids, Tommy and Lily, have mysteriously disappeared just before a massive dust storm hits. With Nathgari eerily smothered in red dust and darkness, the townsfolk join the search led by local cop, David Rae. It soon becomes apparent that something terrible may have happened to Tommy and Lily. Suspicions run riot, rumours spread and public opinion turns savagely against the Parkers. With temperatures rising and the chances of survival plummeting with each passing day, Catherine and Matthew find themselves pushed to the brink as they struggle to survive the mystery of their children's fate.",Strangerland,20911.0,"Michael Kinirons, Fiona Seres",0
9994,R,Brian Goodman,1919.0,Hollywood / English,"27 May, 2017",May 26 2017,93.0,"Outside a mountain town grappling with a series of abductions and murders, Paul (Antonio Banderas), a reclusive writer, struggles to start what he hopes will be a career-saving screenplay. After a tense encounter at a diner with a drifter named Jack (Jonathan Rhys Meyers), Paul offers Jack a place to stay-and soon the edgy, demanding Jack muscles his way into Paul's work. As a storm cuts off power to the isolated cabin, the two men begin a jagged game of one-upmanship that will bring at least one tale to an end.",Black Butterfly,16965.0,"Justin Stanley, Marc Frydman, Hervé Korian",0
19345,R,Dean Francis,7978.0,Hollywood / English,"28 May, 2010",May 28 2010,87.0,"The teenagers Marcus, Liz, Craig and Nina are camping in the remote outback of Australia. While driving on the road, a road train crashes on their car that leaves the road in a serious accident. The quartet survives and Craig breaks his arm, but their car is totally wrecked. However they see the train truck parked on road and Marcus and Liz walk to the vehicle to ask for help. They do not find the driver and soon Craig and Nina arrive. When they see the driver shooting at them, they decide to carjack the road train. Soon they begin to act strange possessed by some evil force.",Road Train,23646.0,Clive Hopkins,0
18100,R,Ami Canaan Mann,3238.0,Hollywood / English,"12 Nov, 2011",Nov 11 2011,105.0,"Souder, a homicide detective in a small Texan town, and his partner, transplanted New York City cop Detective Heigh, track a sadistic serial killer dumping his victims' mutilated bodies in a nearby marsh locals call 'The Killing Fields'. Though the swampland crime scenes are outside their jurisdiction, Detective Heigh is unable to turn his back on solving the gruesome murders. Despite his partner's warnings, he sets out to investigate the crimes. Before long, the killer changes the game and begins hunting the detectives, teasing them with possible clues at the crime scenes while always remaining one step ahead. When familiar local girl Anne goes missing, the detectives find themselves racing against time to catch the killer and save the young girl's life.",Texas Killing Fields,16660.0,Don Ferrarone,0
2030,PG-13,Mark Williams,3784.0,Hollywood / English,"15 Feb, 2022",Feb 10 2022,104.0,"Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",Blacklight,22880.0,"Nick May, Mark Williams, Brandon Reavis",0
18236,PG-13,Terrence Malick,2845.0,Hollywood / English,"21 Sep, 2011",Sep 20 2011,100.0,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father (Brad Pitt). Jack (played as an adult by Sean Penn) finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",The Tree of Life,11989.0,Terrence Malick,0
5598,R,Ricky Tollman,308.0,Hollywood / English,"18 Mar, 2020",Mar 06 2020,99.0,An emerging political scandal in Toronto in 2013 seen through the eyes of young staffers at city hall and a local newspaper.,Run This Town,5169.0,Ricky Tollman,0
14908,TV-14,Simone Stock,766.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7817.0,Haley Harris,0
13329,R,Elegance Bratton,472.0,Hollywood / English,"17 Feb, 2023",Dec 02 2022,95.0,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,5937.0,Elegance Bratton,1
5818,R,Tim Miller,84148.0,Hollywood / English,"24 Oct, 2019",Oct 31 2019,128.0,"More than two decades have passed since Sarah Connor prevented Judgment 
Day, changed the future, and re-wrote the fate of the human race. Dani 
Ramos (Natalia Reyes) is living a simple life in Mexico City with her 
brother (Diego Boneta) and father when a highly advanced and deadly new 
Terminator - a Rev-9 (Gabriel Luna) - travels back through time to hunt 
and kill her. Dani's survival depends on her joining forces with two 
warriors: Grace (Mackenzie Davis), an enhanced super-soldier from the 
future, and a battle-hardened Sarah Connor (Linda Hamilton). As the 
Rev-9 ruthlessly destroys everything and everyone in its path on the 
hunt for Dani, the three are led to a T-800 (Arnold Schwarzenegger) from
 Sarah's past that may be their last best hope.",Terminator: Dark Fate,260198.0,"David S. Goyer, Justin Rhodes, Billy Ray",0
